id,bm_id,code,gm_id,referrer_gm_code,referrer_gm_id,sales_support_id,created_at,updated_at,created_by,updated_by
25,42,BRAND1042,10,49C527,10,NULL,"2020-01-30 05:46:01","2020-01-30 05:46:01",42,42
134,168,BRAND1168,7,884AF8,7,NULL,"2020-02-13 07:22:50","2020-02-13 07:22:50",168,168
263,308,BRAND1308,128,01D61A,128,83,"2020-02-24 16:02:15","2020-02-24 16:02:15",308,308
414,465,BRAND1465,9,26DE0A,9,84,"2020-03-05 06:39:51","2020-03-05 06:39:51",465,465
541,622,BRAND1622,9,26DE0A,9,83,"2020-03-24 09:52:38","2020-03-24 10:13:29",622,622
