id,brand_id,name,entity_name,business_type,mbm_type,menu_type,mode_of_transport,short_description,is_open_always,website,instagram,facebook,status,reason,discount,is_available,is_available_before_login,app_in_background,is_featured,is_internal_partner,is_free_delivery,overall_rating,overall_weighted_rating,total_ratings,created_at,updated_at,created_by,updated_by,is_premium,is_recommended,is_stand_by,duration,stand_by_updated_at,is_active,is_deleted
25,25,"Bakso Bakwan Retno, Kemanggisan 2","Bakso Bakwan Retno",3,1,NULL,3,"Bakso Bakwan khas Nganjuk",0,NULL,NULL,NULL,6,NULL,NULL,0,0,0,0,0,0,NULL,NULL,NULL,"2020-01-30 05:46:01","2020-03-26 08:43:16",42,5,0,0,0,0,"2020-03-23 06:54:15",1,0
134,134,"Bakso Bakwan Retno, Kebon Jeruk 2","Bakso Bakwan Retno",3,1,NULL,3,"Bakso Bakwan Khas Nganjuk",1,NULL,NULL,NULL,6,NULL,100.00,0,0,0,0,0,0,5.00,4.8,2,"2020-02-13 07:22:50","2020-03-25 17:14:31",168,168,0,0,0,0,"2020-03-25 09:42:22",1,0
263,263,"Siomay Batagor Coy, Joglo","Siomay Batagor Coy",3,1,NULL,4,"Siomay batagor bandung",1,NULL,NULL,NULL,6,NULL,NULL,1,1,0,0,0,0,NULL,NULL,NULL,"2020-02-24 16:02:15","2020-03-26 14:35:24",308,83,0,0,0,NULL,NULL,1,0
414,414,"Bakso Urat Bang Muktar, Pejaten",Muktar,3,1,NULL,4,"Bakso Urat Khas Solo",1,NULL,NULL,NULL,6,NULL,NULL,1,1,0,0,0,0,NULL,NULL,NULL,"2020-03-05 06:39:51","2020-03-26 07:18:48",465,84,0,0,0,0,"2020-03-26 07:18:48",1,0
541,541,"Es Kelapa Rudin, Kalibata","Es Kelapa Rudin",3,1,NULL,4,"Es Kelapa Segar",1,NULL,NULL,NULL,6,NULL,NULL,1,1,0,0,0,0,NULL,NULL,NULL,"2020-03-24 09:52:38","2020-03-26 14:35:07",622,83,0,0,0,NULL,NULL,1,0
